sample_id	study_id	cell_or_tissue
SAMD00013684	DRP001150	CD8 T cell
SAMD00013679	DRP001150	B cell
SAMD00013688	DRP001150	B cell
SAMD00013694	DRP001150	CD8 T cell
SAMD00013687	DRP001150	CD8 T cell
SAMD00013693	DRP001150	heart
SAMD00013696	DRP001150	CD8 T cell
SAMD00013678	DRP001150	CD8 T cell
SAMD00013675	DRP001150	B cell
SAMD00013689	DRP001150	B cell
SAMD00013690	DRP001150	B cell
SAMD00013698	DRP001150	B cell
SAMD00013691	DRP001150	CD8 T cell
SAMD00009005	DRP001797	HUVEC
SAMD00009000	DRP001797	endothelial cell
SAMD00009008	DRP001797	HUVEC
SAMD00009009	DRP001797	endothelial cell
SAMD00020293	DRP001797	endothelial cell
SAMD00008999	DRP001797	endothelial cell
SAMD00020289	DRP001797	endothelial cell
SAMD00008990	DRP001797	HUVEC
SAMD00008991	DRP001797	endothelial cell
SAMD00008996	DRP001797	endothelial cell
SAMD00008993	DRP001797	endothelial cell
SAMD00008992	DRP001797	endothelial cell
SAMD00009002	DRP001797	endothelial cell
SAMD00020292	DRP001797	endothelial cell
SAMD00020294	DRP001797	endothelial cell
SAMD00008995	DRP001797	endothelial cell
SAMD00008997	DRP001797	HUVEC
SAMD00009004	DRP001797	endothelial cell
SAMD00009007	DRP001797	endothelial cell
SAMD00009006	DRP001797	endothelial cell
SAMD00009003	DRP001797	endothelial cell
SAMD00020290	DRP001797	endothelial cell
SAMD00020291	DRP001797	HUVEC
SAMD00008998	DRP001797	HUVEC
SAMD00008994	DRP001797	endothelial cell
SAMD00009001	DRP001797	endothelial cell
SAMEA962344	ERP000546	brain
SAMEA962333	ERP000546	testis
SAMEA962341	ERP000546	colon
SAMEA962340	ERP000546	breast
SAMEA962350	ERP000546	ovary
SAMEA962347	ERP000546	skeletal muscle
SAMEA962335	ERP000546	liver
SAMEA962348	ERP000546	kidney
SAMEA962338	ERP000546	lung
SAMEA962349	ERP000546	heart
SAMEA962334	ERP000546	prostate
SAMEA962339	ERP000546	adipose tissue
SAMEA962332	ERP000546	thyroid
SAMEA1886550	ERP002021	MCF-7
SAMEA1886548	ERP002021	MCF-7
SAMEA1886552	ERP002021	MCF-7
SAMEA1886547	ERP002021	MCF-7
SAMEA1886556	ERP002021	MCF-7
SAMEA1886553	ERP002021	MCF-7
SAMEA1886545	ERP002021	MCF-7
SAMEA1886555	ERP002021	MCF-7
SAMEA1886551	ERP002021	MCF-7
SAMEA1886546	ERP002021	MCF-7
SAMEA1886549	ERP002021	MCF-7
SAMEA1886554	ERP002021	MCF-7
SAMEA2042213	ERP002049	epithelial cell
SAMEA2042209	ERP002049	epithelial cell
SAMEA2042214	ERP002049	epithelial cell
SAMEA2042212	ERP002049	epithelial cell
SAMEA2042207	ERP002049	epithelial cell
SAMEA2042211	ERP002049	epithelial cell
SAMEA2042208	ERP002049	epithelial cell
SAMEA2156809	ERP003467	keratinocyte
SAMEA2150354	ERP003467	keratinocyte
SAMEA2145939	ERP003467	keratinocyte
SAMEA2148932	ERP003467	keratinocyte
SAMEA2148322	ERP003467	keratinocyte
SAMEA2148554	ERP003467	keratinocyte
SAMEA2142330	ERP003467	keratinocyte
SAMEA2144823	ERP003467	keratinocyte
SAMEA2143838	ERP003467	keratinocyte
SAMEA2144367	ERP003467	keratinocyte
SAMEA2144221	ERP003467	keratinocyte
SAMEA2161767	ERP003467	keratinocyte
SAMEA2146551	ERP003467	keratinocyte
SAMEA2142988	ERP003467	keratinocyte
SAMEA2159282	ERP003467	keratinocyte
SAMEA2153120	ERP003467	keratinocyte
SAMEA1969275	ERP003467	keratinocyte
SAMEA2146610	ERP003467	keratinocyte
SAMEA2144333	ERP003613	lung
SAMEA2155590	ERP003613	liver
SAMEA2152568	ERP003613	colon
SAMEA2157511	ERP003613	stomach
SAMEA2159080	ERP003613	kidney
SAMEA1970526	ERP003613	kidney
SAMEA2142586	ERP003613	stomach
SAMEA2158188	ERP003613	testis
SAMEA2148093	ERP003613	testis
SAMEA1968968	ERP003613	testis
SAMEA2159764	ERP003613	spleen
SAMEA2151119	ERP003613	testis
SAMEA2157437	ERP003613	cerebral cortex
SAMEA2153031	ERP003613	spleen
SAMEA2145774	ERP003613	kidney
SAMEA2142680	ERP003613	adipose tissue
SAMEA2154665	ERP003613	cerebral cortex
SAMEA2148874	ERP003613	testis
SAMEA2162946	ERP003613	prostate
SAMEA2142348	ERP003613	colon
SAMEA2145743	ERP003613	cerebral cortex
SAMEA2158569	ERP003613	lung
SAMEA2156266	ERP003613	colon
SAMEA2146236	ERP003613	spleen
SAMEA2152798	ERP003613	colon
SAMEA2162328	ERP003613	kidney
SAMEA2161674	ERP003613	testis
SAMEA2162568	ERP003613	placenta
SAMEA2223477	ERP004078	lymphoblastoid
SAMEA2223471	ERP004078	lymphoblastoid
SAMEA2223479	ERP004078	lymphoblastoid
SAMEA2223480	ERP004078	lymphoblastoid
SAMEA2223475	ERP004078	lymphoblastoid
SAMEA2223474	ERP004078	lymphoblastoid
SAMEA2223468	ERP004078	lymphoblastoid
SAMEA2223470	ERP004078	lymphoblastoid
SAMEA2223469	ERP004078	lymphoblastoid
SAMEA2223473	ERP004078	lymphoblastoid
SAMEA2223472	ERP004078	lymphoblastoid
SAMEA2223476	ERP004078	lymphoblastoid
SAMEA2223481	ERP004078	lymphoblastoid
SAMEA2223478	ERP004078	lymphoblastoid
SAMEA2401044	ERP005301	monocyte
SAMEA2401041	ERP005301	monocyte
SAMEA2401045	ERP005301	monocyte
SAMEA2401043	ERP005301	monocyte
SAMEA2401040	ERP005301	monocyte
SAMEA2401047	ERP005301	monocyte
SAMEA2401042	ERP005301	monocyte
SAMEA2401046	ERP005301	monocyte
SAMEA2563964	ERP005953	brown adipose tissue
SAMEA2563966	ERP005953	brown adipose tissue
SAMEA2563960	ERP005953	white adipose tissue
SAMEA2563965	ERP005953	brown adipose tissue
SAMEA2563952	ERP005953	white adipose tissue
SAMEA2563957	ERP005953	brown adipose tissue
SAMEA2563953	ERP005953	white adipose tissue
SAMEA2563962	ERP005953	brown adipose tissue
SAMEA2563954	ERP005953	white adipose tissue
SAMEA2563968	ERP005953	white adipose tissue
SAMEA2563959	ERP005953	brown adipose tissue
SAMEA2563955	ERP005953	brown adipose tissue
SAMEA2563967	ERP005953	white adipose tissue
SAMEA2563951	ERP005953	brown adipose tissue
SAMEA2563963	ERP005953	brown adipose tissue
SAMEA2724903	ERP006216	macrophage
SAMEA2724889	ERP006216	macrophage
SAMEA2724896	ERP006216	macrophage
SAMEA2724897	ERP006216	macrophage
SAMEA2724887	ERP006216	macrophage
SAMEA2724899	ERP006216	macrophage
SAMEA2724895	ERP006216	macrophage
SAMEA2724893	ERP006216	macrophage
SAMEA2724890	ERP006216	macrophage
SAMEA2724894	ERP006216	macrophage
SAMEA2724900	ERP006216	macrophage
SAMEA2724888	ERP006216	macrophage
SAMEA2724901	ERP006216	macrophage
SAMEA2724891	ERP006216	macrophage
SAMEA2724892	ERP006216	macrophage
SAMEA2724902	ERP006216	macrophage
SAMEA2724898	ERP006216	macrophage
SAMEA2724886	ERP006216	macrophage
SAMEA2698402	ERP006650	colon
SAMEA2698408	ERP006650	skeletal muscle
SAMEA2698395	ERP006650	skeletal muscle
SAMEA2698409	ERP006650	skeletal muscle
SAMEA2698414	ERP006650	adipose tissue
SAMEA2698407	ERP006650	colon
SAMEA2698389	ERP006650	skeletal muscle
SAMEA2698394	ERP006650	adipose tissue
SAMEA2698385	ERP006650	skeletal muscle
SAMEA2474454	ERP007111	induced pluripotent stem cell
SAMEA2547622	ERP007111	induced pluripotent stem cell
SAMEA2698309	ERP007111	induced pluripotent stem cell
SAMEA2707499	ERP007111	induced pluripotent stem cell
SAMEA2609972	ERP007111	induced pluripotent stem cell
SAMEA2445790	ERP007111	induced pluripotent stem cell
SAMEA2518332	ERP007111	induced pluripotent stem cell
SAMEA2612483	ERP007111	induced pluripotent stem cell
SAMEA2645805	ERP007111	induced pluripotent stem cell
SAMEA2555017	ERP007111	induced pluripotent stem cell
SAMEA2678742	ERP007111	induced pluripotent stem cell
SAMEA2474456	ERP007111	induced pluripotent stem cell
SAMEA2518322	ERP007111	induced pluripotent stem cell
SAMEA2590621	ERP007111	induced pluripotent stem cell
SAMEA2445784	ERP007111	induced pluripotent stem cell
SAMEA2570435	ERP007111	induced pluripotent stem cell
SAMEA2518325	ERP007111	induced pluripotent stem cell
SAMEA2433566	ERP007111	induced pluripotent stem cell
SAMEA2536412	ERP007111	induced pluripotent stem cell
SAMEA2464810	ERP007111	induced pluripotent stem cell
SAMEA2399461	ERP007111	induced pluripotent stem cell
SAMEA2536416	ERP007111	induced pluripotent stem cell
SAMEA2547633	ERP007111	induced pluripotent stem cell
SAMEA2719619	ERP007111	induced pluripotent stem cell
SAMEA2627577	ERP007111	induced pluripotent stem cell
SAMEA2627567	ERP007111	induced pluripotent stem cell
SAMEA2547619	ERP007111	induced pluripotent stem cell
SAMEA2555012	ERP007111	induced pluripotent stem cell
SAMEA2536413	ERP007111	induced pluripotent stem cell
SAMEA2494988	ERP007111	induced pluripotent stem cell
SAMEA2518324	ERP007111	induced pluripotent stem cell
SAMEA2459961	ERP007111	induced pluripotent stem cell
SAMEA2682670	ERP007111	induced pluripotent stem cell
SAMEA2536410	ERP007111	induced pluripotent stem cell
SAMEA2547616	ERP007111	induced pluripotent stem cell
SAMEA2609965	ERP007111	induced pluripotent stem cell
SAMEA2645811	ERP007111	induced pluripotent stem cell
SAMEA2645809	ERP007111	induced pluripotent stem cell
SAMEA2474458	ERP007111	induced pluripotent stem cell
SAMEA2711371	ERP007111	induced pluripotent stem cell
SAMEA2613897	ERP007111	induced pluripotent stem cell
SAMEA2420640	ERP007111	induced pluripotent stem cell
SAMEA2464797	ERP007111	induced pluripotent stem cell
SAMEA2627141	ERP007111	induced pluripotent stem cell
SAMEA2593858	ERP007111	induced pluripotent stem cell
SAMEA2658090	ERP007111	induced pluripotent stem cell
SAMEA2609971	ERP007111	induced pluripotent stem cell
SAMEA2459959	ERP007111	induced pluripotent stem cell
SAMEA2658084	ERP007111	induced pluripotent stem cell
SAMEA2464819	ERP007111	induced pluripotent stem cell
SAMEA2398028	ERP007111	induced pluripotent stem cell
SAMEA2536417	ERP007111	induced pluripotent stem cell
SAMEA2533339	ERP007111	induced pluripotent stem cell
