"cell_index","species","sample_count","batch_count","normalization","batch","correlation","go_MF_enrichment","go_BP_enrichment","go_CC_enrichment","go_MF_prior","go_BP_prior","go_CC_prior","tfbs_enrichment","tfbs_prior"
1,"human",645,42,"rlog","none","pearson",0.185123010130246,0.263096960926194,0.266338639652677,0.0652966714905933,0.120173661360347,0.155542691751085,0.468075253256151,0.35698986975398
2,"human",623,3,"rlog","none","pearson",0.248146610521321,0.430045667516755,0.404365102900184,0.0688571259118676,0.183085226261788,0.207045845442145,0.466757606310421,0.33515212620841
3,"human",481,8,"rlog","none","pearson",0.204816824966079,0.279647218453189,0.292944369063772,0.0704206241519674,0.128968792401628,0.183921302578019,0.418521031207598,0.309701492537313
4,"human",427,22,"rlog","none","pearson",0.127269998499175,0.225624093251288,0.225323928160488,0.0445745159837911,0.0989043974185802,0.129421181649907,0.410525789184051,0.308469658312072
5,"human",402,5,"rlog","none","pearson",0.229948551313295,0.390955862442459,0.34551854860547,0.0803141077714595,0.180016246953696,0.185486054698077,0.4785810993772,0.334416463579745
6,"human",376,13,"rlog","none","pearson",0.139022753614348,0.268346245348624,0.23253827853352,0.0450802171658635,0.110900994326847,0.110229976209358,0.462087476361862,0.333801012627341
7,"human",321,20,"rlog","none","pearson",0.172827549098736,0.306914178100619,0.289911218724778,0.0476190476190476,0.114178100618779,0.128813559322034,0.47608286252354,0.347161689534571
8,"human",292,21,"rlog","none","pearson",0.238365187344779,0.390724543785768,0.330633840837922,0.0775834143181082,0.168016412914372,0.164831011769787,0.461451247165533,0.325234855847101
9,"human",268,23,"rlog","none","pearson",0.129827490261547,0.251252086811352,0.243071786310518,0.0465219810795771,0.099053978853645,0.122481914301614,0.428269337785198,0.314134668892599
10,"human",244,17,"rlog","none","pearson",0.171715671715672,0.287941787941788,0.285367785367785,0.0478665478665479,0.105484605484605,0.140530640530641,0.421146421146421,0.30996930996931
11,"human",228,10,"rlog","none","pearson",0.12978126752664,0.23157599551318,0.247167694896242,0.0331463825014021,0.0836231071228267,0.116040381379697,0.419685922602356,0.309478407178912
12,"human",210,12,"rlog","none","pearson",0.246664385904892,0.387957577830996,0.35471547496864,0.0884365378036264,0.180921427756871,0.191755046185426,0.459630516592542,0.341544075721291
13,"human",199,12,"rlog","none","pearson",0.129949178584092,0.214454556199031,0.202103770239924,0.042429972816452,0.0852736083205295,0.112693535043139,0.370523578773195,0.264034984044439
14,"human",193,12,"rlog","none","pearson",0.0793222466269219,0.174395983683715,0.142328208346407,0.0215249450894258,0.0593034201443364,0.0520866018198933,0.401568873548792,0.292751804204581
15,"human",187,16,"rlog","none","pearson",0.163155484314174,0.273814975956034,0.265743073047859,0.0549003892832608,0.114323334096634,0.130810625143119,0.528452026562858,0.411495305701855
16,"human",170,10,"rlog","none","pearson",0.249663690840161,0.419346948758713,0.480432921609392,0.0483673718967837,0.118258530023236,0.18454200807142,0.430598018833313,0.296196649137826
17,"human",169,17,"rlog","none","pearson",0.128933354849121,0.235059975256845,0.218815555914152,0.0429777849497068,0.0887526222365661,0.0978968318003335,0.466731214028293,0.329137754827605
